question,option,answer_key,confidence,attendu
QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?,"A. La technique de la pointe de papier permet d'estimer la LOT avant la mise en forme canalaire.
B. La sensibilité douloureuse permet de déterminer la LOT de manière reproductible.
C. La sensibilité tactile permet d'estimer la LOT de manière fiable.
D. L'utilisation d'un localisateur d'apex est une technique acceptable pour déterminer la LOT.
E. Autre réponse - CE",,,D
QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?,"A. Si un canal fin est mis en forme avec le système ProTaper Universal, le S1, le S2 et le F1 seront utilisés jusqu'à la LT.
B. Si un canal fin est mis en forme avec des limes K et que la lime apicale maîtresse est la lime K 20, la conicité apicale sera augmentée en utilisant des limes K de diamètres croissants à des profondeurs décroissantes avec la technique des forces équilibrées.
C. En cas d'absence de progression lors de la mise en forme canalaire avec des limes K, le canal doit être élargi dans la portion coronaire en utilisant des instruments de diamètres croissants à des profondeurs décroissantes.
D. En cas de butée, cette dernière peut être levée en exerçant une pression axiale importante avec une lime K25.
E. Autre réponse",,,"A,B,C"
QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?,"A. La chlorhexidine ne dissout ni les tissus organiques ni la matière minérale.
B. L’EDTA n’a pas d’action sur les tissus organiques.
C. L’hypochlorite de sodium n’a pas d’action sur la matière minérale.
D. Lors du rinçage final, un rinçage à l’EDTA suivi d’un rinçage à l’hypochlorite de sodium ou à la chlorhexidine est recommandé.
E. Autre réponse - CE",,,"A,B,C,D"
"Sur les proprietes de l'EDTA, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. L’EDTA sodique réagit avec Ca2+ de l’hydroxyapatite et se transforme en EDTA calcique
B. La déminéralisation est illimitée dans le temps
C. La concentration préconisée est de 15 à 17%
D. N’a pas d’action sur la boue dentinaire",,,"A,C"
QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?,"A. L’hypochlorite de sodium à des concentrations aux alentour 2,5% est utilisé comme irrigant canalaire depuis la cavité d’accès jusqu’au rinçage final.
B. Le protocole d’irrigation passive consiste à bloquer la pointe de l’aiguille dans le canal puis à injecter l’irrigant canalaire sous pression.
C. L’hypochlorite de sodium permet d’éliminer efficacement la boue dentinaire.
D. L’EDTA est principalement utilisé lors du rinçage final pour éliminer la boue dentinaire.
E. Autre réponse",,,"A,D"
QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?,"A. L’activation sonore a été démontrée comme étant plus efficace que tous les systèmes d’activation des solutions d’irrigation.
B. L’irrigation manuelle passive ne provoque aucun risque d’extrusion de la solution au niveau du péri-apex.
C. Lors du rinçage final, il est possible de mélanger de l’hypochlorite de sodium et de la chlorhexidine dans le canal pour potentialiser leur action antiseptique.
D. L’activation des solutions d’irrigation permet d’augmenter leur efficacité.
E. Autre réponse",,,D
ORS DU RINÇAGE FINAL IL EST POSSIBLE D’UTILISER SUCCESSIVEMENT?,"A. 1 seringue d’EDTA à 17% activée pendant 1 minute puis 1 seringue Hypochlorite 2,5% activée pendant 30 secondes et 1 seringue eau stérile.
B. 1 seringue Hypochlorite 2,5% activée pendant 30 secondes 1 seringue d’EDTA à 17% activée pendant 1 minute et 1 seringue Eau stérile.
C. 1 seringue d’EDTA à 17% activée pendant 1 minute puis 1 seringue Hypochlorite 2,5% activée pendant 30 secondes et 1 seringue de sérum physiologique.
D. 1 seringue Hypochlorite 2,5% activée pendant 30 secondes 1 seringue d’EDTA à 17% activée pendant 1 minute et 1 seringue de sérum physiologique.",,,"A,C"
"CONCERNANT LA ZONE APICALE DECRITE PAR KUTTLER, QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Dans 80% des cas, le foramen sort sur la surface radiculaire, au niveau de l'apex anatomique
B. Dans 80% des cas, le foramen ne sort pas sur la surface radiculaire au niveau de l'apex anatomique
C. La constriction apicale se trouve à la jonction des sommets de 2 cônes: le cône dentinaire et le cône cémentaire
D. La jonction cémento-dentinaire est une zone très marquée et facilement identifiable",,,"B,C"
"CONCERNANT LA ZONE APICALE,QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. L'espace de Black est délimité par le cône cémentaire et la lame cribliforme de l'os alvéolaire
B. La constriction apicale est définie par Grove comme l'endroit où la pulpe se termine et où le parodonte commence
C. les 2 cônes décrits par Kuttler forme souvent le même angle
D. le cône cémentaire est souvent dévié mésialement",,,"A,B"
QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?,"A. La  limite apicale de préparation et la longueur de travail sont 2 termes équivalents
B. La longueur de travail est une mesure qui se définit par rapport à 2 points de référence, un coronaire et un apical
C. Le point de référence apical est défini par un stop silicone abaissé sur un repère anatomique fiable et stable
D. Le choix du point de référence coronaire est lié à l'opérateur, il est important qu'il soit bien identifié en cas de séances multiples - KV",,,"B,D"
" CONCERNANT LE CHOIX DE LA LIMITE APICALE DE PREPARATION (LAP), QUELLE(S) SONT LA (LES) PROPOSITION(S) EXTACTE(S)?","A. Il existe 2 grands courants de pensée ayant une approche différente (standardisée, schildérienne)
B. Actuellement, on privilégie une LAP la plus proche possible de la constriction apicale
C. La perméabilité foraminale n'est jamais recherchée
D. la position de la LAP peut varier en fonction de l'âge (appostion de cément,...)",,,"A,B,D"
LORS DU TRAITEMENT D’UNE PULPITE SEVERE LA LIMITE IDEAL DE VOTRE OBTURATION SE SITUERA?,"A. au niveau de la constriction apical
B. à l’apex radiographique
C. à la jonction cémento-dentinaire
D. entre 0,5 et 1mm de l’apex physiologique
E. au foramen apical",,,"A,C"
LA NORME ISO DES INSTRUMENTS MANUELS CORRESPOND A?,"A. Une fabrication en acier inoxydable
B. Un code couleur associé à chaque diamètre
C. Une partie active de 25mm
D. un diamètre de pointe en centième de mm
E. Une conicité de 3%",,,"A,B,D"
